,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
105,Amazon.com: Customer reviews: Alani Energy Drink,"March 26, 2024",2.0,care,oxyshred girl wanted try since friend mentioned personally really care taste purchased cherry slush flavor tasted like cough syrup choice drink case since bought likely wo buying edit review feel differently later drinking right fan also le caffeine used guess everything everyone ok,care oxyshred girl wanted try since friend mentioned personally really care taste purchased cherry slush flavor tasted like cough syrup choice drink case since bought likely wo buying edit review feel differently later drinking right fan also le caffeine used guess everything everyone ok,0,0.9393,0.9393,,,,
106,Amazon.com: Customer reviews: Alani Energy Drink,"March 25, 2024",2.0,product great delivery time terrible,order item vendor multiple time product great shipping time gone snail pace first ordered delivering overnight take week get purchase option pay get sooner worst part tracking show even touched charged day ordered get package day disappointing,product great delivery time terrible order item vendor multiple time product great shipping time gone snail pace first ordered delivering overnight take week get purchase option pay get sooner worst part tracking show even touched charged day ordered get package day disappointing,0,,,,-0.5267,,
107,Amazon.com: Customer reviews: Alani Energy Drink,"March 13, 2024",2.0,great product terrible packaging,case drink dropped larger box allowed smaller case move shipped presume someone carrier opened box see content bouncing around clear tape amazon tape opening brown box original drink case destroyed missing can great product thought love cherry slush flavor,great product terrible packaging case drink dropped larger box allowed smaller case move shipped presume someone carrier opened box see content bouncing around clear tape amazon tape opening brown box original drink case destroyed missing can great product thought love cherry slush flavor,0,,0.8885,,,,
108,Amazon.com: Customer reviews: Alani Energy Drink,"March 12, 2024",2.0,tastes good work,delish job,tastes good work delish job,0,0.4404,,,,,
109,Amazon.com: Customer reviews: Alani Energy Drink,"March 10, 2024",2.0,medicine taste,like awful cough syrup taste flavor tasted flavor one real disappointment struggling drink avoid wasting never order flavor,medicine taste like awful cough syrup taste flavor tasted flavor one real disappointment struggling drink avoid wasting never order flavor,0,-0.8885,-0.8885,,,,
110,Amazon.com: Customer reviews: Alani Energy Drink,"February 26, 2024",2.0,good product bad seller,missing can trying cosmic stardust flavor taste like skittle interested trying flavor brand make packaging pack damaged meant can secured shipping based damage seller must known way shipping damaged box end world come buying thing amazon examining noticed shipped can,good product bad seller missing can trying cosmic stardust flavor taste like skittle interested trying flavor brand make packaging pack damaged meant can secured shipping based damage seller must known way shipping damaged box end world come buying thing amazon examining noticed shipped can,0,-0.4939,-0.4939,,,,
111,Amazon.com: Customer reviews: Alani Energy Drink,"February 22, 2024",2.0,packaging,love product disappointed packaging twice week can box one picked fell front step hoping still carbonated damaged,packaging love product disappointed packaging twice week can box one picked fell front step hoping still carbonated damaged,0,,,,,,
114,Amazon.com: Customer reviews: Alani Energy Drink,"January 25, 2024",2.0,taste good,taste good flavor sweet artifical cherry top,taste good taste good flavor sweet artifical cherry top,0,0.8625,0.8625,,,,
116,Amazon.com: Customer reviews: Alani Energy Drink,"January 21, 2024",2.0,alani never disappoints happy packaging though,love product sure someone approved shipped like,alani never disappoints happy packaging though love product sure someone approved shipped like,0,,,,,,
126,Amazon.com: Customer reviews: Alani Energy Drink,"December 10, 2023",2.0,busted box full mold,received package damage outside yet drink box drink covered mold,busted box full mold received package damage outside yet drink box drink covered mold,0,,,,-0.4939,,
